,Paper_Title,Publish_Year,Publish_Journal,MP_polymer,MP_size_um,MP_shape,mouse_rat,exposure_method,exposure_duration_day,MP_dose_mg_kg_dw_day,if_coexposure,Liver_MP_accum,Brain_MP_conc,blood_MP_conc,Kidney_MP_conc,Heart_MP_conc,Lung_MP_conc,Spleen_MP_conc,Testis_MP_conc,Gut_MP_conc,Uterus_ovaries_MP_conc,MP_accumulation_detection_method
306,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,28,4.2,none,M,,,H,,,,,H,,fluorescence microscopy
314,polystyrene microplastics induced male reproductive toxicity in mice ,2021, journal of hazardous materials ,ps,0.5,beads,mice,oral gavage,42,42,none,,,,,,,,N,,,fluorescence microscopy
315,polystyrene microplastics induced male reproductive toxicity in mice ,2021, journal of hazardous materials ,ps,4,beads,mice,oral gavage,42,42,none,,,,,,,,M,,,fluorescence microscopy
316,polystyrene microplastics induced male reproductive toxicity in mice ,2021, journal of hazardous materials ,ps,10,beads,mice,oral gavage,42,42,none,,,,,,,,M,,,fluorescence microscopy
317,"impacts of polystyrene microplastic on the gut barrier, microbiota and metabolism of mice ",2019, science of the total environment ,ps,5,beads,mice,oral gavage,35,0.25,none,,,,,,,,,M,,fluorescence microscopy
323,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,5,beads,mice,oral gavage,1,50,none,M,,,M,,,,,M,,fluorescence microscopy
323,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,5,beads,mice,oral gavage,2,50,none,H,,,M,,,,,M,,fluorescence microscopy
323,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,5,beads,mice,oral gavage,4,50,none,H,,,M,,,,,H,,fluorescence microscopy
323,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,5,beads,mice,oral gavage,7,50,none,M,,,H,,,,,H,,fluorescence microscopy
323,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,5,beads,mice,oral gavage,14,50,none,M,,,H,,,,,H,,fluorescence microscopy
323,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,5,beads,mice,oral gavage,21,50,none,M,,,H,,,,,H,,fluorescence microscopy
323,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,5,beads,mice,oral gavage,28,50,none,M,,,H,,,,,H,,fluorescence microscopy
325,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,20,beads,mice,oral gavage,1,50,none,N,,,M,,,,,M,,fluorescence microscopy
325,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,20,beads,mice,oral gavage,2,50,none,M,,,M,,,,,M,,fluorescence microscopy
325,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,20,beads,mice,oral gavage,4,50,none,M,,,M,,,,,M,,fluorescence microscopy
325,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,20,beads,mice,oral gavage,7,50,none,M,,,M,,,,,M,,fluorescence microscopy
325,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,20,beads,mice,oral gavage,14,50,none,H,,,H,,,,,M,,fluorescence microscopy
325,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,20,beads,mice,oral gavage,21,50,none,H,,,H,,,,,M,,fluorescence microscopy
325,toxicity-based toxicokinetic/toxicodynamic assessment for bioaccumulation of polystyrene microplastics in mice ,2019, journal of hazardous materials ,ps,20,beads,mice,oral gavage,28,50,none,H,,,H,,,,,M,,fluorescence microscopy
331,microplastic exposure linked to accelerated aging and impaired adipogenesis in fat cells ,2024, scientific reports ,ps,2,,mice,oral gavage,14,0.08,none,,,,,,,,M,,,fluorescence microscopy
334,organ-specific accumulation and toxicity analysis of orally administered polyethylene terephthalate microplastics ,2025, scientific reports ,pet,5.64,irregular,mice,oral gavage,7,2000,none,H,M,,M,M,H,M,,H,,fluorescence microscopy
337,no prominent toxicity of polyethylene microplastics observed in neonatal mice following intratracheal instillation to dams during gestational and neonatal period,2021,toxicological research,pe,27,beads,mice,intratracheal administration,18,0.25,none,N,,,,M,M,,,N,,fluorescence microscopy
337,no prominent toxicity of polyethylene microplastics observed in neonatal mice following intratracheal instillation to dams during gestational and neonatal period,2021,toxicological research,pe,27,beads,mice,intratracheal administration,18,2.5,none,M,,,,M,M,,,M,,fluorescence microscopy
353,characterisation of changes in global genes expression in the lung of icr mice in response to the inflammation and fibrosis induced by polystyrene nanoplastics inhalation ,2023, toxicological research ,ps,0.5,,mice,inhalation,14,1.3,none,M,,,M,,M,,,,,other
353,characterisation of changes in global genes expression in the lung of icr mice in response to the inflammation and fibrosis induced by polystyrene nanoplastics inhalation ,2023, toxicological research ,ps,0.5,,mice,inhalation,14,2.7,none,M,,,M,,M,,,,,other
353,characterisation of changes in global genes expression in the lung of icr mice in response to the inflammation and fibrosis induced by polystyrene nanoplastics inhalation ,2023, toxicological research ,ps,0.5,,mice,inhalation,14,5.3,none,M,,,M,,M,,,,,other
361,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,1,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
361,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,2,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
361,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,4,4.2,none,M,,,M,,,,,H,,fluorescence microscopy
361,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,7,4.2,none,M,,,M,,,,,H,,fluorescence microscopy
361,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,14,4.2,none,M,,,H,,,,,H,,fluorescence microscopy
361,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,21,4.2,none,M,,,H,,,,,H,,fluorescence microscopy
361,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,28,4.2,none,M,,,H,,,,,H,,fluorescence microscopy
364,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,1,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
364,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,2,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
364,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,4,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
364,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,7,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
364,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,14,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
364,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,21,4.2,none,M,,,H,,,,,M,,fluorescence microscopy
364,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,28,4.2,none,M,,,H,,,,,M,,fluorescence microscopy
377,"distribution of micro-nano ps, dehp, and/or mehp in mice and nerve cell models in vitro after exposure to micro-nano ps and dehp ",2023, toxics ,ps,0.05,beads,mice,oral gavage,90,50,Yes,M,M,,M,,,,M,M,,fluorescence microscopy
377,"distribution of micro-nano ps, dehp, and/or mehp in mice and nerve cell models in vitro after exposure to micro-nano ps and dehp ",2023, toxics ,ps,0.5,beads,mice,oral gavage,90,50,Yes,M,M,,M,,,,M,M,,fluorescence microscopy
377,"distribution of micro-nano ps, dehp, and/or mehp in mice and nerve cell models in vitro after exposure to micro-nano ps and dehp ",2023, toxics ,ps,5,beads,mice,oral gavage,90,50,Yes,M,N,,N,,,,N,M,,fluorescence microscopy
393,enhanced asgr2 by microplastic exposure leads to resistance to therapy in gastric cancer ,2022, theranostics ,ps,8.5,beads,mice,oral gavage,1,1.45,none,N,N,,,N,N,N,,M,,PET_MRI
398,polystyrene nanoplastics activate autophagy and suppress trophoblast cell migration/invasion and migrasome formation to induce miscarriage ,2024, acs nano ,ps,0.05,beads,mice,oral gavage,13,100,none,,,,,,,,,,M,MS_based
402,environmentally relevant concentrations of microplastic exposure cause cholestasis and bile acid metabolism dysregulation through a gut-liver loop in mice ,2024, environmental science & technology ,ps,5,beads,mice,oral gavage,30,5,none,M,,,,,,,,,,fluorescence microscopy
402,environmentally relevant concentrations of microplastic exposure cause cholestasis and bile acid metabolism dysregulation through a gut-liver loop in mice ,2024, environmental science & technology ,ps,5,beads,mice,oral gavage,30,0.5,none,M,,,,,,,,,,fluorescence microscopy
402,environmentally relevant concentrations of microplastic exposure cause cholestasis and bile acid metabolism dysregulation through a gut-liver loop in mice ,2024, environmental science & technology ,ps,5,beads,mice,oral gavage,30,0.05,none,M,,,,,,,,,,fluorescence microscopy
403,inhalation of microplastics induces inflammatory injuries in multiple murine organs via the toll-like receptor pathway ,2024, environmental science & technology ,ps,3,beads,mice,intratracheal administration,1,1.25,none,N,N,,N,,M,N,N,,,fluorescence microscopy
403,inhalation of microplastics induces inflammatory injuries in multiple murine organs via the toll-like receptor pathway ,2024, environmental science & technology ,ps,3,beads,mice,intratracheal administration,1,12.5,none,N,N,,N,,M,M,M,,,fluorescence microscopy
404,inhalation of microplastics induces inflammatory injuries in multiple murine organs via the toll-like receptor pathway ,2024, environmental science & technology ,ps,3,beads,mice,intratracheal administration,3,1.25,none,N,N,,N,,M,N,N,,,fluorescence microscopy
405,inhalation of microplastics induces inflammatory injuries in multiple murine organs via the toll-like receptor pathway ,2024, environmental science & technology ,ps,3,beads,mice,intratracheal administration,3,12.5,none,M,M,,M,,M,M,M,,,fluorescence microscopy
406,inhalation of microplastics induces inflammatory injuries in multiple murine organs via the toll-like receptor pathway ,2024, environmental science & technology ,ps,3,beads,mice,intratracheal administration,7,1.25,none,N,N,,N,,M,N,N,,,fluorescence microscopy
406,inhalation of microplastics induces inflammatory injuries in multiple murine organs via the toll-like receptor pathway ,2024, environmental science & technology ,ps,3,beads,mice,intratracheal administration,7,12.5,none,M,M,,M,,M,M,M,,,fluorescence microscopy
416,a noninvasive quantitative method for evaluating intestinal exposure to microplastics based on the excretion and metabolism patterns of microplastics and their additives ,2024, environmental science & technology ,pet,50,,mice,oral gavage,63,6.25,Yes,,,M,,,,,,,,other
417,a noninvasive quantitative method for evaluating intestinal exposure to microplastics based on the excretion and metabolism patterns of microplastics and their additives ,2024, environmental science & technology ,pet,50,,mice,oral gavage,63,15,Yes,,,M,,,,,,,,other
420,airborne nanoplastics exposure induces irreversible glucose increase and complete hepatic insulin resistance ,2024, environmental science & technology ,ps,0.1,,mice,inhalation,10,42,none,M,M,,M,,M,M,,,,fluorescence microscopy
421,trehalose acts as a mediator: imbalance in brain proteostasis induced by polystyrene nanoplastics via gut microbiota dysbiosis during early life ,2025, acs nano ,ps,0.06,beads,mice,oral gavage,1,2.5,none,N,N,,N,N,N,N,N,,,fluorescence microscopy
421,trehalose acts as a mediator: imbalance in brain proteostasis induced by polystyrene nanoplastics via gut microbiota dysbiosis during early life ,2025, acs nano ,ps,0.06,beads,mice,oral gavage,1,10,none,N,M,,M,N,N,N,M,,,fluorescence microscopy
421,trehalose acts as a mediator: imbalance in brain proteostasis induced by polystyrene nanoplastics via gut microbiota dysbiosis during early life ,2025, acs nano ,ps,0.06,beads,mice,oral gavage,1,40,none,N,M,,M,N,N,N,M,,,fluorescence microscopy
421,trehalose acts as a mediator: imbalance in brain proteostasis induced by polystyrene nanoplastics via gut microbiota dysbiosis during early life ,2025, acs nano ,ps,0.06,beads,mice,oral gavage,28,2.5,none,N,N,,N,N,N,N,N,,,fluorescence microscopy
421,trehalose acts as a mediator: imbalance in brain proteostasis induced by polystyrene nanoplastics via gut microbiota dysbiosis during early life ,2025, acs nano ,ps,0.06,beads,mice,oral gavage,28,10,none,N,N,,N,N,N,N,M,,,fluorescence microscopy
421,trehalose acts as a mediator: imbalance in brain proteostasis induced by polystyrene nanoplastics via gut microbiota dysbiosis during early life ,2025, acs nano ,ps,0.06,beads,mice,oral gavage,28,40,none,N,M,,M,N,N,N,M,,,fluorescence microscopy
429,polylactic acid micro/nanoplastic exposure induces male reproductive toxicity by disrupting spermatogenesis and mitochondrial dysfunction in mice ,2023, acs nano ,other,1.2,irregular,mice,oral gavage,56,1000,none,,,,,,,,M,,,fluorescence microscopy
431,neonatal exposure to polystyrene nanoplastics impairs microglia-mediated synaptic pruning and causes social behavioral defects in adulthood ,2024, environmental science & technology ,ps,0.2,beads,mice,oral gavage,5,5,none,,M,,,,,,,,,fluorescence microscopy
432,neonatal exposure to polystyrene nanoplastics impairs microglia-mediated synaptic pruning and causes social behavioral defects in adulthood ,2024, environmental science & technology ,ps,0.2,beads,mice,oral gavage,5,5,none,,M,,,,,,,,,fluorescence microscopy
433,neonatal exposure to polystyrene nanoplastics impairs microglia-mediated synaptic pruning and causes social behavioral defects in adulthood ,2024, environmental science & technology ,ps,0.2,beads,mice,oral gavage,5,5,none,,M,,,,,,,,,fluorescence microscopy
443,intratracheal administration of polystyrene microplastics induces pulmonary fibrosis by activating oxidative stress and wnt/  -catenin signaling pathway in mice ,2022, ecotoxicology and environmental safety ,ps,5,beads,mice,oral gavage,7,6.25,none,N,,,N,,N,,,,,fluorescence microscopy
444,intratracheal administration of polystyrene microplastics induces pulmonary fibrosis by activating oxidative stress and wnt/  -catenin signaling pathway in mice ,2022, ecotoxicology and environmental safety ,ps,5,beads,mice,intratracheal administration,7,6.25,none,N,,,N,,M,,,,,fluorescence microscopy
449,co-exposure of polystyrene microplastics and iron aggravates cognitive decline in aging mice via ferroptosis induction ,2022, ecotoxicology and environmental safety ,ps,5,beads,mice,oral gavage,90,0.25,none,N,M,,N,,M,N,,,,fluorescence microscopy
450,excretion characteristics of nylon microplastics and absorption risk of nanoplastics in rats ,2022, ecotoxicology and environmental safety ,other,108,beads,rat,oral gavage,7,35,none,,,M,,,,,,,,other
471,the microplastics exposure induce the kidney injury in mice revealed by rna-seq ,2023, ecotoxicology and environmental safety ,ps,5,,mice,oral gavage,56,0.25,none,,,,M,,,,,M,,fluorescence microscopy
480,n6-methyladenosine methylation mediates non-coding rnas modification in microplastic-induced cardiac injury ,2023, ecotoxicology and environmental safety ,ps,10,beads,mice,oral gavage,180,0.25,none,M,,,M,M,,M,,,,fluorescence microscopy
483,disrupted intestinal mucosal barrier mediated by alcohol consumption aggravates systemic microplastic accumulation ,2023, ecotoxicology and environmental safety ,ps,2.16,beads,mice,oral gavage,35,0.1,none,M,,,,,,,,,,fluorescence microscopy
484,disrupted intestinal mucosal barrier mediated by alcohol consumption aggravates systemic microplastic accumulation ,2023, ecotoxicology and environmental safety ,ps,2.16,beads,mice,oral gavage,35,0.1,Yes,M,,,,,,,,,,fluorescence microscopy
507,effects of the adsorption behavior of polyamide microplastics on male reproductive health by reduction of testosterone bioavailability ,2024, ecotoxicology and environmental safety ,other,5,,mice,oral gavage,1,21,none,,,,,,,,M,,,fluorescence microscopy
508,effects of the adsorption behavior of polyamide microplastics on male reproductive health by reduction of testosterone bioavailability ,2024, ecotoxicology and environmental safety ,other,5,,mice,oral gavage,1,21,none,,,,,,,,M,,,fluorescence microscopy
507,effects of the adsorption behavior of polyamide microplastics on male reproductive health by reduction of testosterone bioavailability ,2024, ecotoxicology and environmental safety ,other,5,,mice,oral gavage,28,21,none,,,,,,,,M,,,fluorescence microscopy
508,effects of the adsorption behavior of polyamide microplastics on male reproductive health by reduction of testosterone bioavailability ,2024, ecotoxicology and environmental safety ,other,5,,mice,oral gavage,28,21,none,,,,,,,,M,,,fluorescence microscopy
522,selective bioaccumulation of polystyrene nanoplastics in fetal rat brain and damage to myelin development ,2024, ecotoxicology and environmental safety ,ps,25,beads,rat,oral gavage,17,0.5,none,,,M,,,,,,,M,fluorescence microscopy
523,selective bioaccumulation of polystyrene nanoplastics in fetal rat brain and damage to myelin development ,2024, ecotoxicology and environmental safety ,ps,25,beads,rat,oral gavage,17,2.5,none,,,M,,,,,,,M,fluorescence microscopy
524,selective bioaccumulation of polystyrene nanoplastics in fetal rat brain and damage to myelin development ,2024, ecotoxicology and environmental safety ,ps,25,beads,rat,oral gavage,17,10,none,,,M,,,,,,,M,fluorescence microscopy
526,selective bioaccumulation of polystyrene nanoplastics in fetal rat brain and damage to myelin development ,2024, ecotoxicology and environmental safety ,ps,25,beads,rat,oral gavage,17,50,none,,,M,,,,,,,M,fluorescence microscopy
522,selective bioaccumulation of polystyrene nanoplastics in fetal rat brain and damage to myelin development ,2024, ecotoxicology and environmental safety ,ps,50,beads,rat,oral gavage,17,0.5,none,,,M,,,,,,,M,fluorescence microscopy
523,selective bioaccumulation of polystyrene nanoplastics in fetal rat brain and damage to myelin development ,2024, ecotoxicology and environmental safety ,ps,50,beads,rat,oral gavage,17,2.5,none,,,M,,,,,,,M,fluorescence microscopy
524,selective bioaccumulation of polystyrene nanoplastics in fetal rat brain and damage to myelin development ,2024, ecotoxicology and environmental safety ,ps,50,beads,rat,oral gavage,17,10,none,,,M,,,,,,,M,fluorescence microscopy
526,selective bioaccumulation of polystyrene nanoplastics in fetal rat brain and damage to myelin development ,2024, ecotoxicology and environmental safety ,ps,50,beads,rat,oral gavage,17,50,none,,,M,,,,,,,M,fluorescence microscopy
542,polystyrene microplastics exacerbated the toxicity of okadaic acid to the small intestine in mice ,2024, ecotoxicology and environmental safety ,ps,5,,mice,oral gavage,1,2,Yes,,,,,,,,,M,,fluorescence microscopy
542,polystyrene microplastics exacerbated the toxicity of okadaic acid to the small intestine in mice ,2024, ecotoxicology and environmental safety ,ps,5,,mice,oral gavage,1,2,none,,,,,,,,,N,,fluorescence microscopy
545,polystyrene nanoplastics induced learning and memory impairments in mice by damaging the glymphatic system ,2024, ecotoxicology and environmental safety ,ps,0.082,beads,mice,oral gavage,7,50,none,,M,,,,,,,,,fluorescence microscopy
545,polystyrene nanoplastics induced learning and memory impairments in mice by damaging the glymphatic system ,2024, ecotoxicology and environmental safety ,ps-cooh,0.084,beads,mice,oral gavage,7,50,none,,M,,,,,,,,,fluorescence microscopy
545,polystyrene nanoplastics induced learning and memory impairments in mice by damaging the glymphatic system ,2024, ecotoxicology and environmental safety ,ps-nh2,0.082,beads,mice,oral gavage,7,50,none,,M,,,,,,,,,fluorescence microscopy
545,polystyrene nanoplastics induced learning and memory impairments in mice by damaging the glymphatic system ,2024, ecotoxicology and environmental safety ,ps,0.082,beads,mice,intratracheal administration,7,50,none,,M,,,,,,,,,fluorescence microscopy
545,polystyrene nanoplastics induced learning and memory impairments in mice by damaging the glymphatic system ,2024, ecotoxicology and environmental safety ,ps-cooh,0.084,beads,mice,intratracheal administration,7,50,none,,M,,,,,,,,,fluorescence microscopy
545,polystyrene nanoplastics induced learning and memory impairments in mice by damaging the glymphatic system ,2024, ecotoxicology and environmental safety ,ps-nh2,0.082,beads,mice,intratracheal administration,7,50,none,,M,,,,,,,,,fluorescence microscopy
545,polystyrene nanoplastics induced learning and memory impairments in mice by damaging the glymphatic system ,2024, ecotoxicology and environmental safety ,ps,0.082,beads,mice,intratracheal administration,7,50,none,,M,,,,,,,,,fluorescence microscopy
545,polystyrene nanoplastics induced learning and memory impairments in mice by damaging the glymphatic system ,2024, ecotoxicology and environmental safety ,ps-cooh,0.084,beads,mice,intratracheal administration,7,50,none,,M,,,,,,,,,fluorescence microscopy
545,polystyrene nanoplastics induced learning and memory impairments in mice by damaging the glymphatic system ,2024, ecotoxicology and environmental safety ,ps-nh2,0.082,beads,mice,intratracheal administration,7,50,none,,M,,,,,,,,,fluorescence microscopy
555,polystyrene microplastics exposure: disruption of intestinal barrier integrity and hepatic function in infant mice ,2024, ecotoxicology and environmental safety ,ps,5,beads,mice,oral gavage,28,0.02,none,M,,,,,,,,M,,FTIR_Raman spectroscopy
557,polystyrene microplastics exposure: disruption of intestinal barrier integrity and hepatic function in infant mice ,2024, ecotoxicology and environmental safety ,ps,5,beads,mice,oral gavage,28,0.2,none,M,,,,,,,,M,,FTIR_Raman spectroscopy
563,maternal exposure to polystyrene nanoplastics during gestation and lactation caused fertility decline in female mouse offspring ,2025, ecotoxicology and environmental safety ,ps,0.045,beads,mice,oral gavage,20,30,none,,,,,,,,,,M,fluorescence microscopy
568,"comprehensive multi-omics, behavioral and morphological analysis of the hazards of nano-plastics in mice with internal carotid artery occlusion ",2023, ecotoxicology and environmental safety ,ps,0.05,beads,mice,intravenous administration,1,20,none,M,M,,M,,M,,,,,fluorescence microscopy
574,cardiotoxicity of polystyrene nanoplastics and associated mechanism of myocardial cell injury in mice ,2025, ecotoxicology and environmental safety ,ps,1,,mice,oral gavage,42,7.5,none,,,,,M,,,,,,other microscope
575,cardiotoxicity of polystyrene nanoplastics and associated mechanism of myocardial cell injury in mice ,2025, ecotoxicology and environmental safety ,ps,1,,mice,oral gavage,42,15,none,,,,,M,,,,,,other microscope
576,cardiotoxicity of polystyrene nanoplastics and associated mechanism of myocardial cell injury in mice ,2025, ecotoxicology and environmental safety ,ps,1,,mice,oral gavage,42,25,none,,,,,M,,,,,,other microscope
577,synergistic toxicity of nanoplastics and helicobacter pylori on digestive system in mice ,2025, ecotoxicology and environmental safety ,other,0.1,beads,mice,oral gavage,28,0.25,none,M,,,,,,,,M,,MS_based
577,synergistic toxicity of nanoplastics and helicobacter pylori on digestive system in mice ,2025, ecotoxicology and environmental safety ,other,0.1,beads,mice,oral gavage,28,2.5,none,M,,,,,,,,M,,MS_based
577,synergistic toxicity of nanoplastics and helicobacter pylori on digestive system in mice ,2025, ecotoxicology and environmental safety ,other,0.1,beads,mice,oral gavage,28,25,none,M,,,,,,,,M,,MS_based
577,synergistic toxicity of nanoplastics and helicobacter pylori on digestive system in mice ,2025, ecotoxicology and environmental safety ,other,0.1,beads,mice,oral gavage,28,0.25,Yes,M,,,,,,,,M,,MS_based
577,synergistic toxicity of nanoplastics and helicobacter pylori on digestive system in mice ,2025, ecotoxicology and environmental safety ,other,0.1,beads,mice,oral gavage,28,2.5,Yes,M,,,,,,,,M,,MS_based
577,synergistic toxicity of nanoplastics and helicobacter pylori on digestive system in mice ,2025, ecotoxicology and environmental safety ,other,0.1,beads,mice,oral gavage,28,25,Yes,M,,,,,,,,M,,MS_based
584,exposure to polyethylene and polyvinylchloride microplastics caused advanced puberty onset in females through promoting hypothalamic gnrh expression ,2025, ecotoxicology and environmental safety ,pe,0.2,beads,mice,oral gavage,14,1.25,none,N,N,,N,N,N,N,N,,N,fluorescence microscopy
585,exposure to polyethylene and polyvinylchloride microplastics caused advanced puberty onset in females through promoting hypothalamic gnrh expression ,2025, ecotoxicology and environmental safety ,pe,0.2,beads,mice,oral gavage,14,12.5,none,,M,,M,M,M,M,M,,M,fluorescence microscopy
586,exposure to polyethylene and polyvinylchloride microplastics caused advanced puberty onset in females through promoting hypothalamic gnrh expression ,2025, ecotoxicology and environmental safety ,pe,0.2,beads,mice,oral gavage,14,125,none,,M,,M,M,M,M,M,,M,fluorescence microscopy
587,exposure to polyethylene and polyvinylchloride microplastics caused advanced puberty onset in females through promoting hypothalamic gnrh expression ,2025, ecotoxicology and environmental safety ,other,5,beads,mice,oral gavage,14,25,none,N,N,,N,N,N,N,N,,N,fluorescence microscopy
588,exposure to polyethylene and polyvinylchloride microplastics caused advanced puberty onset in females through promoting hypothalamic gnrh expression ,2025, ecotoxicology and environmental safety ,other,5,beads,mice,oral gavage,14,250,none,,M,,M,M,M,M,M,,M,fluorescence microscopy
589,exposure to polyethylene and polyvinylchloride microplastics caused advanced puberty onset in females through promoting hypothalamic gnrh expression ,2025, ecotoxicology and environmental safety ,other,5,beads,mice,oral gavage,14,2500,none,,M,,M,M,M,M,M,,M,fluorescence microscopy
595,gestational exposure to polystyrene microplastics incurred placental damage in mice: insights into metabolic and gene expression disorders,2023,ecotoxicology and environmental safety,ps,0.1,beads,mice,oral gavage,14,83,none,M,,,M,,,,M,,M,fluorescence microscopy
595,gestational exposure to polystyrene microplastics incurred placental damage in mice: insights into metabolic and gene expression disorders,2023,ecotoxicology and environmental safety,ps,5,beads,mice,oral gavage,14,83,none,M,,,M,,,,M,,M,fluorescence microscopy
599,impact of polystyrene microplastics (ps-mps) on the entire female mouse reproductive cycle: assessing reproductive toxicity of microplastics through in vitro follicle culture ,2025, ecotoxicology and environmental safety ,ps,1,beads,mice,oral gavage,35,30,none,,,,,,,,,,M,fluorescence microscopy
611,microplastics release phthalate esters and cause aggravated adverse effects in the mouse gut ,2020, environment international ,pe,50,beads,mice,oral gavage,30,100,Yes,,,,,,,,,M,,other microscope
625,polystyrene micro- and nano-particle coexposure injures fetal thalamus by inducing ros-mediated cell apoptosis ,2022, environment international ,ps,0.1,beads,mice,oral gavage,17,42,none,,,,,,,,,,M,fluorescence microscopy
625,polystyrene micro- and nano-particle coexposure injures fetal thalamus by inducing ros-mediated cell apoptosis ,2022, environment international ,ps,0.1,beads,mice,oral gavage,17,42,none,,,,,,,,,,M,fluorescence microscopy
625,polystyrene micro- and nano-particle coexposure injures fetal thalamus by inducing ros-mediated cell apoptosis ,2022, environment international ,ps,0.8,beads,mice,oral gavage,17,42,none,,,,,,,,,,M,fluorescence microscopy
629,combined ingestion of polystyrene microplastics and epoxiconazole increases health risk to mice: based on their synergistic bioaccumulation in vivo ,2022, environment international ,ps,5,beads,mice,oral gavage,42,0.12,none,N,,,N,,,,,,,MS_based
630,combined ingestion of polystyrene microplastics and epoxiconazole increases health risk to mice: based on their synergistic bioaccumulation in vivo ,2022, environment international ,ps,5,beads,mice,oral gavage,42,0.12,Yes,H,,,H,,,,,,,fluorescence microscopy
632,low-dose of polystyrene microplastics induce cardiotoxicity in mice and human-originated cardiac organoids ,2023, environment international ,ps,1,beads,mice,intratracheal administration,28,0.006,none,,,,,M,,,,,,fluorescence microscopy
632,low-dose of polystyrene microplastics induce cardiotoxicity in mice and human-originated cardiac organoids ,2023, environment international ,ps,1,beads,mice,intratracheal administration,28,0.06,none,,,,,H,,,,,,fluorescence microscopy
632,low-dose of polystyrene microplastics induce cardiotoxicity in mice and human-originated cardiac organoids ,2023, environment international ,ps,1,beads,mice,intratracheal administration,28,0.6,none,,,,,H,,,,,,fluorescence microscopy
